institutional_sector,consolidation,transaction_type,period,assets_total,assets_currency_deposits,assets_debt_securities,assets_loans_total,assets_short_term_loans,assets_long_term_loans,assets_equity_investment_funds,liabilities_total,liabilities_currency_deposits,liabilities_debt_securities,liabilities_loans_total,liabilities_short_term_loans,liabilities_long_term_loans,liabilities_equity_investment_funds,net_worth
The non-financial corporations sector,Not consolidated,Closing balance sheet,2015,2846164,228851,12311,988622,416371,572251,1389958,3945437,,81042,1507804,536410,971394,2141029,-1099273
The non-financial corporations sector,Not consolidated,Closing balance sheet,2016,3095971,242493,9197,1083067,429577,653490,1518188,4215228,,115515,1550318,520083,1030235,2323114,-1119257
The non-financial corporations sector,Not consolidated,Closing balance sheet,2017,3198502,254336,8012,1166395,468002,698393,1519241,4351719,,123245,1597975,530402,1067573,2406023,-1153217
The non-financial corporations sector,Not consolidated,Closing balance sheet,2018,3293461,261353,9006,1180639,461478,719161,1588282,4379176,,130075,1618298,547800,1070498,2402307,-1085715
The non-financial corporations sector,Not consolidated,Closing balance sheet,2019,3382103,263120,6134,1207003,451901,755102,1657335,4590810,,135783,1610681,522721,1087960,2614983,-1208707
The non-financial corporations sector,Not consolidated,Closing balance sheet,2020,3397913,325822,6608,1210435,432457,777978,1609700,4608804,,151612,1605050,499439,1105611,2613503,-1210891
The non-financial corporations sector,Not consolidated,Closing balance sheet,2021,3897520,381394,6271,1304919,468693,836226,1914025,5330653,,157878,1736049,581598,1154451,3169701,-1433133
The non-financial corporations sector,Not consolidated,Closing balance sheet,2022,4151387,392539,7153,1392843,543904,848939,2045378,5403089,,163663,1822381,645844,1176537,3124926,-1251702
The non-financial corporations sector,Not consolidated,Closing balance sheet,2023,3980193,380521,7706,1426951,605465,821486,1853249,5396130,,180357,1797976,675252,1122724,3140830,-1415937
The non-financial corporations sector,Not consolidated,Closing balance sheet,2024,4079190,399535,9018,1414333,580310,834023,1939250,5519037,,187301,1797419,659286,1138133,3256872,-1439847
The non-financial corporations sector,Not consolidated,Closing balance sheet,2025*,4052975,402667,7523,1401909,583852,818057,1922773,5640682,,184741,1798575,670236,1128339,3378225,-1587707
The non-financial corporations sector,Not consolidated,Closing balance sheet,2026 1st quarter*,4091196,399255,9955,1399086,576598,822488,1953820,5750812,,186524,1816358,681066,1135292,3475014,-1659616
